seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.004386278962774984,-0.004386278962774984,0.0
1234,0,m_miss,-0.00459922823482519,-0.004386278962774984,-0.00021294927205020575
1234,0,e_miss,-0.004320006358327963,-0.004386278962774984,6.627260444702111e-05
1234,0,both_miss,-0.00725813272198767,-0.004386278962774984,-0.0028718537592126855
1234,1,correct,-0.00565350537439153,-0.00565350537439153,0.0
1234,1,m_miss,-0.005705959948000529,-0.00565350537439153,-5.245457360899923e-05
1234,1,e_miss,-0.0054005618403823565,-0.00565350537439153,0.0002529435340091731
1234,1,both_miss,-0.003740024428595187,-0.00565350537439153,0.0019134809457963427
1234,2,correct,-0.004316247797330916,-0.004316247797330916,0.0
1234,2,m_miss,-0.004254078992266156,-0.004316247797330916,6.216880506476011e-05
1234,2,e_miss,-0.0041692038445612254,-0.004316247797330916,0.00014704395276969075
1234,2,both_miss,-0.0035046162287701754,-0.004316247797330916,0.0008116315685607407
1235,0,correct,-0.0047384297275412076,-0.0047384297275412076,0.0
1235,0,m_miss,-0.004678706448957816,-0.0047384297275412076,5.972327858339184e-05
1235,0,e_miss,-0.004789529931707846,-0.0047384297275412076,-5.110020416663856e-05
1235,0,both_miss,-0.007430027292888978,-0.0047384297275412076,-0.0026915975653477708
1235,1,correct,-0.006152938685488172,-0.006152938685488172,0.0
1235,1,m_miss,-0.006719389435112291,-0.006152938685488172,-0.0005664507496241193
1235,1,e_miss,-0.005909769867611591,-0.006152938685488172,0.0002431688178765809
1235,1,both_miss,-0.004059005669122026,-0.006152938685488172,0.0020939330163661455
1235,2,correct,-0.0050773613450370405,-0.0050773613450370405,0.0
1235,2,m_miss,-0.005203605166125325,-0.0050773613450370405,-0.00012624382108828488
1235,2,e_miss,-0.004930546417274423,-0.0050773613450370405,0.00014681492776261705
1235,2,both_miss,-0.004763554985728714,-0.0050773613450370405,0.0003138063593083268
1236,0,correct,-0.004525724911996206,-0.004525724911996206,0.0
1236,0,m_miss,-0.004561986789268156,-0.004525724911996206,-3.6261877271949634e-05
1236,0,e_miss,-0.004268785345642992,-0.004525724911996206,0.00025693956635321376
1236,0,both_miss,-0.007097967157609877,-0.004525724911996206,-0.0025722422456136707
1236,1,correct,-0.005906487097089326,-0.005906487097089326,0.0
1236,1,m_miss,-0.006410903546594274,-0.005906487097089326,-0.0005044164495049477
1236,1,e_miss,-0.0054174125432125565,-0.005906487097089326,0.0004890745538767699
1236,1,both_miss,-0.003180228026037034,-0.005906487097089326,0.0027262590710522925
1236,2,correct,-0.004495688142688508,-0.004495688142688508,0.0
1236,2,m_miss,-0.004266866275498596,-0.004495688142688508,0.0002288218671899116
1236,2,e_miss,-0.004354464635746734,-0.004495688142688508,0.00014122350694177437
1236,2,both_miss,-0.003884178351181351,-0.004495688142688508,0.0006115097915071568
1237,0,correct,-0.00448658499295439,-0.00448658499295439,0.0
1237,0,m_miss,-0.0046933363820340366,-0.00448658499295439,-0.00020675138907964678
1237,0,e_miss,-0.004221519081089655,-0.00448658499295439,0.00026506591186473485
1237,0,both_miss,-0.007238524473351583,-0.00448658499295439,-0.0027519394803971935
1237,1,correct,-0.005870912984301849,-0.005870912984301849,0.0
1237,1,m_miss,-0.006001867686732148,-0.005870912984301849,-0.0001309547024302988
1237,1,e_miss,-0.005385465156339409,-0.005870912984301849,0.0004854478279624399
1237,1,both_miss,-0.0034520066160532536,-0.005870912984301849,0.0024189063682485954
1237,2,correct,-0.004688398762254293,-0.004688398762254293,0.0
1237,2,m_miss,-0.004467537752739339,-0.004688398762254293,0.00022086100951495408
1237,2,e_miss,-0.004591826494900025,-0.004688398762254293,9.657226735426856e-05
1237,2,both_miss,-0.004128862782307006,-0.004688398762254293,0.0005595359799472873
1238,0,correct,-0.004499897453192494,-0.004499897453192494,0.0
1238,0,m_miss,-0.004572643889451369,-0.004499897453192494,-7.274643625887478e-05
1238,0,e_miss,-0.004273212084306799,-0.004499897453192494,0.00022668536888569533
1238,0,both_miss,-0.007266844477645711,-0.004499897453192494,-0.002766947024453217
1238,1,correct,-0.005866176919195244,-0.005866176919195244,0.0
1238,1,m_miss,-0.0065912185731065364,-0.005866176919195244,-0.0007250416539112924
1238,1,e_miss,-0.004952716758300795,-0.005866176919195244,0.0009134601608944493
1238,1,both_miss,-0.0029473902917120233,-0.005866176919195244,0.002918786627483221
1238,2,correct,-0.0047988001048805086,-0.0047988001048805086,0.0
1238,2,m_miss,-0.00476869278826701,-0.0047988001048805086,3.0107316613498143e-05
1238,2,e_miss,-0.004626998459309976,-0.0047988001048805086,0.00017180164557053287
1238,2,both_miss,-0.004359125756300305,-0.0047988001048805086,0.0004396743485802039
1239,0,correct,-0.004995905179929252,-0.004995905179929252,0.0
1239,0,m_miss,-0.00526148800673889,-0.004995905179929252,-0.00026558282680963757
1239,0,e_miss,-0.004871256323652946,-0.004995905179929252,0.00012464885627630658
1239,0,both_miss,-0.007136556485030786,-0.004995905179929252,-0.002140651305101534
1239,1,correct,-0.006052751653333289,-0.006052751653333289,0.0
1239,1,m_miss,-0.005805326079744346,-0.006052751653333289,0.00024742557358894274
1239,1,e_miss,-0.005616058183332888,-0.006052751653333289,0.00043669347000040073
1239,1,both_miss,-0.00380790257288079,-0.006052751653333289,0.002244849080452499
1239,2,correct,-0.004935012007769209,-0.004935012007769209,0.0
1239,2,m_miss,-0.0052142737525907356,-0.004935012007769209,-0.00027926174482152677
1239,2,e_miss,-0.004764298813998844,-0.004935012007769209,0.00017071319377036463
1239,2,both_miss,-0.0049548290132391815,-0.004935012007769209,-1.9817005469972664e-05
1240,0,correct,-0.0052718247552901954,-0.0052718247552901954,0.0
1240,0,m_miss,-0.005258208053655226,-0.0052718247552901954,1.3616701634969024e-05
1240,0,e_miss,-0.004643134751826672,-0.0052718247552901954,0.0006286900034635232
1240,0,both_miss,-0.0072289732467667005,-0.0052718247552901954,-0.001957148491476505
1240,1,correct,-0.006068864598507259,-0.006068864598507259,0.0
1240,1,m_miss,-0.0064728225183810295,-0.006068864598507259,-0.00040395791987377083
1240,1,e_miss,-0.005593367818920784,-0.006068864598507259,0.00047549677958647497
1240,1,both_miss,-0.0033068907944855987,-0.006068864598507259,0.00276197380402166
1240,2,correct,-0.0046931324954430234,-0.0046931324954430234,0.0
1240,2,m_miss,-0.00455037239148602,-0.0046931324954430234,0.00014276010395700318
1240,2,e_miss,-0.004522300163946183,-0.0046931324954430234,0.0001708323314968405
1240,2,both_miss,-0.0043122076441669726,-0.0046931324954430234,0.0003809248512760509
1241,0,correct,-0.004534109370890839,-0.004534109370890839,0.0
1241,0,m_miss,-0.004653596877025059,-0.004534109370890839,-0.00011948750613422019
1241,0,e_miss,-0.004350855478901369,-0.004534109370890839,0.00018325389198946967
1241,0,both_miss,-0.00717211328078149,-0.004534109370890839,-0.0026380039098906514
1241,1,correct,-0.005802588364912383,-0.005802588364912383,0.0
1241,1,m_miss,-0.006234620910635289,-0.005802588364912383,-0.00043203254572290583
1241,1,e_miss,-0.005339315326408157,-0.005802588364912383,0.000463273038504226
1241,1,both_miss,-0.002419027173490397,-0.005802588364912383,0.003383561191421986
1241,2,correct,-0.004434856056790658,-0.004434856056790658,0.0
