seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.0025598229185224736,-0.0025598229185224736,0.0
1234,0,m_miss,-0.00274926651890399,-0.0025598229185224736,-0.00018944360038151628
1234,0,e_miss,-0.002196889388744632,-0.0025598229185224736,0.00036293352977784157
1234,0,both_miss,-0.004337678279172505,-0.0025598229185224736,-0.0017778553606500312
1234,1,correct,-0.004160488793980147,-0.004160488793980147,0.0
1234,1,m_miss,-0.00410586370485768,-0.004160488793980147,5.462508912246634e-05
1234,1,e_miss,-0.0039219895408181705,-0.004160488793980147,0.00023849925316197628
1234,1,both_miss,-0.0028834078513480864,-0.004160488793980147,0.0012770809426320604
1234,2,correct,-0.0018122403945199782,-0.0018122403945199782,0.0
1234,2,m_miss,-0.0020421122171152637,-0.0018122403945199782,-0.0002298718225952855
1234,2,e_miss,-0.001826270041634896,-0.0018122403945199782,-1.4029647114917679e-05
1234,2,both_miss,-0.0006123457482374666,-0.0018122403945199782,0.0011998946462825116
1235,0,correct,-0.002878567249461012,-0.002878567249461012,0.0
1235,0,m_miss,-0.0031223590682535646,-0.002878567249461012,-0.00024379181879255257
1235,0,e_miss,-0.002852230951510854,-0.002878567249461012,2.6336297950158103e-05
1235,0,both_miss,-0.005278418615235088,-0.002878567249461012,-0.0023998513657740757
1235,1,correct,-0.002585953575999046,-0.002585953575999046,0.0
1235,1,m_miss,-0.0021145778864112676,-0.002585953575999046,0.0004713756895877784
1235,1,e_miss,-0.002479471808759625,-0.002585953575999046,0.00010648176723942115
1235,1,both_miss,-0.00039437215880174236,-0.002585953575999046,0.002191581417197304
1235,2,correct,-0.003267492614016302,-0.003267492614016302,0.0
1235,2,m_miss,-0.003181438730934057,-0.003267492614016302,8.605388308224491e-05
1235,2,e_miss,-0.003163612542765154,-0.003267492614016302,0.00010388007125114798
1235,2,both_miss,-0.003584928083313724,-0.003267492614016302,-0.0003174354692974217
1236,0,correct,-0.0028081434096896094,-0.0028081434096896094,0.0
1236,0,m_miss,-0.0024843852721803,-0.0028081434096896094,0.00032375813750930944
1236,0,e_miss,-0.0025928022452715435,-0.0028081434096896094,0.00021534116441806594
1236,0,both_miss,-0.004471197989026364,-0.0028081434096896094,-0.0016630545793367545
1236,1,correct,-0.003116289555484859,-0.003116289555484859,0.0
1236,1,m_miss,-0.002820314386824369,-0.003116289555484859,0.00029597516866049006
1236,1,e_miss,-0.002773509283090915,-0.003116289555484859,0.0003427802723939442
1236,1,both_miss,-0.0011269683645129434,-0.003116289555484859,0.001989321190971916
1236,2,correct,-0.002978718466358527,-0.002978718466358527,0.0
1236,2,m_miss,-0.0029643075860555134,-0.002978718466358527,1.44108803030135e-05
1236,2,e_miss,-0.0028912534686150676,-0.002978718466358527,8.746499774345924e-05
1236,2,both_miss,-0.0021096631360317305,-0.002978718466358527,0.0008690553303267964
1237,0,correct,-0.0020164229489417727,-0.0020164229489417727,0.0
1237,0,m_miss,-0.0023157428997736948,-0.0020164229489417727,-0.000299319950831922
1237,0,e_miss,-0.0018890752399861343,-0.0020164229489417727,0.00012734770895563843
1237,0,both_miss,-0.0036827396690468058,-0.0020164229489417727,-0.001666316720105033
1237,1,correct,-0.0021125654312698357,-0.0021125654312698357,0.0
1237,1,m_miss,-0.002239280676363099,-0.0021125654312698357,-0.0001267152450932633
1237,1,e_miss,-0.002032774282893706,-0.0021125654312698357,7.979114837612959e-05
1237,1,both_miss,-0.00034252332455582364,-0.0021125654312698357,0.001770042106714012
1237,2,correct,-0.0027395259223631768,-0.0027395259223631768,0.0
1237,2,m_miss,-0.002751886424241115,-0.0027395259223631768,-1.2360501877938402e-05
1237,2,e_miss,-0.0026592565860904097,-0.0027395259223631768,8.026933627276701e-05
1237,2,both_miss,-0.0022841683889825307,-0.0027395259223631768,0.00045535753338064606
1238,0,correct,-0.0024289372826939546,-0.0024289372826939546,0.0
1238,0,m_miss,-0.0026159998053147133,-0.0024289372826939546,-0.00018706252262075873
1238,0,e_miss,-0.002392341277768146,-0.0024289372826939546,3.6596004925808744e-05
1238,0,both_miss,-0.005089927151926857,-0.0024289372826939546,-0.002660989869232902
1238,1,correct,-0.0027961613280213047,-0.0027961613280213047,0.0
1238,1,m_miss,-0.0029101902644185114,-0.0027961613280213047,-0.0001140289363972067
1238,1,e_miss,-0.002531621512522235,-0.0027961613280213047,0.0002645398154990696
1238,1,both_miss,-0.00046529467488921075,-0.0027961613280213047,0.002330866653132094
1238,2,correct,-0.002494572353446322,-0.002494572353446322,0.0
1238,2,m_miss,-0.0024244613406381914,-0.002494572353446322,7.011101280813073e-05
1238,2,e_miss,-0.0021825124845367304,-0.002494572353446322,0.0003120598689095918
1238,2,both_miss,-0.00094717794081489,-0.002494572353446322,0.0015473944126314322
1239,0,correct,-0.0030685038921776163,-0.0030685038921776163,0.0
1239,0,m_miss,-0.0034148470116150908,-0.0030685038921776163,-0.0003463431194374745
1239,0,e_miss,-0.0031861441049301224,-0.0030685038921776163,-0.00011764021275250617
1239,0,both_miss,-0.004405609089850626,-0.0030685038921776163,-0.0013371051976730094
1239,1,correct,-0.004032745539285673,-0.004032745539285673,0.0
1239,1,m_miss,-0.0036637991567931216,-0.004032745539285673,0.0003689463824925517
1239,1,e_miss,-0.003820445875779801,-0.004032745539285673,0.0002122996635058722
1239,1,both_miss,-0.002233914494468563,-0.004032745539285673,0.0017988310448171104
1239,2,correct,-0.0031043363991167493,-0.0031043363991167493,0.0
1239,2,m_miss,-0.003232242020020531,-0.0031043363991167493,-0.00012790562090378172
1239,2,e_miss,-0.002917160431329643,-0.0031043363991167493,0.00018717596778710646
1239,2,both_miss,-0.0035291261330582364,-0.0031043363991167493,-0.0004247897339414871
1240,0,correct,-0.002125019570815769,-0.002125019570815769,0.0
1240,0,m_miss,-0.0023128117736651754,-0.002125019570815769,-0.00018779220284940654
1240,0,e_miss,-0.001977284168048371,-0.002125019570815769,0.00014773540276739796
1240,0,both_miss,-0.003488552680703076,-0.002125019570815769,-0.0013635331098873073
1240,1,correct,-0.002549277811821542,-0.002549277811821542,0.0
1240,1,m_miss,-0.002070465011857421,-0.002549277811821542,0.0004788127999641209
1240,1,e_miss,-0.0026242966627411752,-0.002549277811821542,-7.501885091963341e-05
1240,1,both_miss,0.00011616813602525665,-0.002549277811821542,0.0026654459478467987
1240,2,correct,-0.002392954582774074,-0.002392954582774074,0.0
1240,2,m_miss,-0.002251244734156271,-0.002392954582774074,0.00014170984861780304
1240,2,e_miss,-0.0022580389071049168,-0.002392954582774074,0.00013491567566915712
1240,2,both_miss,-0.002231188352880242,-0.002392954582774074,0.0001617662298938321
1241,0,correct,-0.0023404543547725946,-0.0023404543547725946,0.0
1241,0,m_miss,-0.0023022844380152247,-0.0023404543547725946,3.8169916757369894e-05
1241,0,e_miss,-0.0022831203248530685,-0.0023404543547725946,5.733402991952609e-05
1241,0,both_miss,-0.004365570904479144,-0.0023404543547725946,-0.00202511654970655
1241,1,correct,-0.0025557723014150817,-0.0025557723014150817,0.0
1241,1,m_miss,-0.001998376418785141,-0.0025557723014150817,0.0005573958826299405
1241,1,e_miss,-0.002465327791048685,-0.0025557723014150817,9.044451036639657e-05
1241,1,both_miss,-0.0009968500800126298,-0.0025557723014150817,0.0015589222214024518
1241,2,correct,-0.0028371986383778328,-0.0028371986383778328,0.0
1241,2,m_miss,-0.0023600348481319726,-0.0028371986383778328,0.00047716379024586014
1241,2,e_miss,-0.002617804018618531,-0.0028371986383778328,0.00021939461975930196
1241,2,both_miss,-0.0013357159844049273,-0.0028371986383778328,0.0015014826539729055
1242,0,correct,-0.0030187214020233276,-0.0030187214020233276,0.0
1242,0,m_miss,-0.0026360075207002747,-0.0030187214020233276,0.00038271388132305297
1242,0,e_miss,-0.002621698370292042,-0.0030187214020233276,0.0003970230317312858
1242,0,both_miss,-0.005687953097360632,-0.0030187214020233276,-0.002669231695337304
1242,1,correct,-0.00227983295333704,-0.00227983295333704,0.0
1242,1,m_miss,-0.0023114856565999643,-0.00227983295333704,-3.165270326292453e-05
1242,1,e_miss,-0.002048944349601227,-0.00227983295333704,0.00023088860373581292
1242,1,both_miss,0.0007762060753605702,-0.00227983295333704,0.0030560390286976102
1242,2,correct,-0.002500569960988676,-0.002500569960988676,0.0
1242,2,m_miss,-0.0024471452693119707,-0.002500569960988676,5.342469167670533e-05
1242,2,e_miss,-0.00228059836682529,-0.002500569960988676,0.00021997159416338582
1242,2,both_miss,-0.0010662049814530498,-0.002500569960988676,0.0014343649795356263
1243,0,correct,-0.003710679138436123,-0.003710679138436123,0.0
1243,0,m_miss,-0.004006810441753198,-0.003710679138436123,-0.00029613130331707484
1243,0,e_miss,-0.0034259170222858777,-0.003710679138436123,0.0002847621161502453
1243,0,both_miss,-0.005292043684508572,-0.003710679138436123,-0.001581364546072449
1243,1,correct,-0.0038021675311362326,-0.0038021675311362326,0.0
1243,1,m_miss,-0.00420894945819184,-0.0038021675311362326,-0.0004067819270556078
1243,1,e_miss,-0.003593489498061295,-0.0038021675311362326,0.00020867803307493766
1243,1,both_miss,-0.0019336156214880482,-0.0038021675311362326,0.0018685519096481844
1243,2,correct,-0.0022921872547629527,-0.0022921872547629527,0.0
1243,2,m_miss,-0.002597678387191675,-0.0022921872547629527,-0.00030549113242872225
