seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.0038857583303751903,-0.0038857583303751903,0.0
1234,0,m_miss,-0.00417071894597695,-0.0038857583303751903,-0.0002849606156017596
1234,0,e_miss,-0.004011262091173354,-0.0038857583303751903,-0.00012550376079816395
1234,0,both_miss,-0.0067698405759934474,-0.0038857583303751903,-0.002884082245618257
1234,1,correct,-0.003691477858452447,-0.003691477858452447,0.0
1234,1,m_miss,-0.003179654622762617,-0.003691477858452447,0.0005118232356898299
1234,1,e_miss,-0.0033358248392233412,-0.003691477858452447,0.00035565301922910577
1234,1,both_miss,-0.00031375795998959824,-0.003691477858452447,0.0033777198984628488
1234,2,correct,-0.004211322457836381,-0.004211322457836381,0.0
1234,2,m_miss,-0.004194417508562174,-0.004211322457836381,1.690494927420686e-05
1234,2,e_miss,-0.00409715772383341,-0.004211322457836381,0.00011416473400297118
1234,2,both_miss,-0.003940818662520338,-0.004211322457836381,0.0002705037953160431
1235,0,correct,-0.005271987010562096,-0.005271987010562096,0.0
1235,0,m_miss,-0.005275900764928759,-0.005271987010562096,-3.91375436666324e-06
1235,0,e_miss,-0.0051428169708316795,-0.005271987010562096,0.0001291700397304165
1235,0,both_miss,-0.008582973881851882,-0.005271987010562096,-0.003310986871289786
1235,1,correct,-0.007018179475083558,-0.007018179475083558,0.0
1235,1,m_miss,-0.008540843290669103,-0.007018179475083558,-0.001522663815585545
1235,1,e_miss,-0.005982211304472001,-0.007018179475083558,0.001035968170611557
1235,1,both_miss,-0.003362003505914906,-0.007018179475083558,0.003656175969168652
1235,2,correct,-0.00437423749723488,-0.00437423749723488,0.0
1235,2,m_miss,-0.004432310772639275,-0.00437423749723488,-5.80732754043951e-05
1235,2,e_miss,-0.004397086582469801,-0.00437423749723488,-2.2849085234921684e-05
1235,2,both_miss,-0.004079377200395771,-0.00437423749723488,0.00029486029683910894
1236,0,correct,-0.005038703225808984,-0.005038703225808984,0.0
1236,0,m_miss,-0.004102287686518522,-0.005038703225808984,0.0009364155392904616
1236,0,e_miss,-0.005022981503326836,-0.005038703225808984,1.5721722482147683e-05
1236,0,both_miss,-0.006644847847175589,-0.005038703225808984,-0.0016061446213666052
1236,1,correct,-0.00524370424209772,-0.00524370424209772,0.0
1236,1,m_miss,-0.005298523255061105,-0.00524370424209772,-5.481901296338493e-05
1236,1,e_miss,-0.004671065479785079,-0.00524370424209772,0.0005726387623126413
1236,1,both_miss,-0.002246870274652549,-0.00524370424209772,0.0029968339674451712
1236,2,correct,-0.0038905085492366063,-0.0038905085492366063,0.0
1236,2,m_miss,-0.0039023912139992405,-0.0038905085492366063,-1.1882664762634214e-05
1236,2,e_miss,-0.0037581448412079637,-0.0038905085492366063,0.00013236370802864258
1236,2,both_miss,-0.003950947322197215,-0.0038905085492366063,-6.043877296060861e-05
1237,0,correct,-0.005504636802383117,-0.005504636802383117,0.0
1237,0,m_miss,-0.0054338648337686575,-0.005504636802383117,7.077196861445933e-05
1237,0,e_miss,-0.005379945434848778,-0.005504636802383117,0.0001246913675343386
1237,0,both_miss,-0.007419141583771136,-0.005504636802383117,-0.0019145047813880194
1237,1,correct,-0.006149990243572549,-0.006149990243572549,0.0
1237,1,m_miss,-0.005959422356756015,-0.006149990243572549,0.00019056788681653426
1237,1,e_miss,-0.005912887356462101,-0.006149990243572549,0.0002371028871104488
1237,1,both_miss,-0.005442729380218559,-0.006149990243572549,0.0007072608633539902
1237,2,correct,-0.0046718914923424126,-0.0046718914923424126,0.0
1237,2,m_miss,-0.005063507512478398,-0.0046718914923424126,-0.0003916160201359858
1237,2,e_miss,-0.004465625531054806,-0.0046718914923424126,0.00020626596128760655
1237,2,both_miss,-0.0042142621034999645,-0.0046718914923424126,0.000457629388842448
1238,0,correct,-0.0035251695302246254,-0.0035251695302246254,0.0
1238,0,m_miss,-0.0042821520812736415,-0.0035251695302246254,-0.0007569825510490161
1238,0,e_miss,-0.0037182928189707994,-0.0035251695302246254,-0.000193123288746174
1238,0,both_miss,-0.006952478940420625,-0.0035251695302246254,-0.0034273094101959995
1238,1,correct,-0.006090263777986328,-0.006090263777986328,0.0
1238,1,m_miss,-0.006197500270337442,-0.006090263777986328,-0.00010723649235111401
1238,1,e_miss,-0.0059778734315709715,-0.006090263777986328,0.00011239034641535688
