seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.0039021416722608117,-0.0039021416722608117,0.0
1234,0,m_miss,-0.004192770787900109,-0.0039021416722608117,-0.00029062911563929733
1234,0,e_miss,-0.003662885021057904,-0.0039021416722608117,0.00023925665120290776
1234,0,both_miss,-0.00473827156610496,-0.0039021416722608117,-0.0008361298938441486
1234,1,correct,-0.004795734575202149,-0.004795734575202149,0.0
1234,1,m_miss,-0.004883068828133331,-0.004795734575202149,-8.733425293118175e-05
1234,1,e_miss,-0.004936739046623408,-0.004795734575202149,-0.00014100447142125893
1234,1,both_miss,-0.004510006952469374,-0.004795734575202149,0.00028572762273277545
1234,2,correct,-0.004912010359577257,-0.004912010359577257,0.0
1234,2,m_miss,-0.005248162968304086,-0.004912010359577257,-0.00033615260872682864
1234,2,e_miss,-0.004736363720411178,-0.004912010359577257,0.00017564663916607923
1234,2,both_miss,-0.006597893165077106,-0.004912010359577257,-0.0016858828054998488
1234,3,correct,-0.005310497318200759,-0.005310497318200759,0.0
1234,3,m_miss,-0.005138801872811364,-0.005310497318200759,0.000171695445389395
1234,3,e_miss,-0.005243312976016111,-0.005310497318200759,6.718434218464832e-05
1234,3,both_miss,-0.005453231922245982,-0.005310497318200759,-0.00014273460404522296
1235,0,correct,-0.00621638619438853,-0.00621638619438853,0.0
1235,0,m_miss,-0.005668593768366713,-0.00621638619438853,0.0005477924260218177
1235,0,e_miss,-0.005350670317715478,-0.00621638619438853,0.0008657158766730523
1235,0,both_miss,-0.005106255352584122,-0.00621638619438853,0.0011101308418044083
1235,1,correct,-0.005052895860565739,-0.005052895860565739,0.0
1235,1,m_miss,-0.005612461044382801,-0.005052895860565739,-0.000559565183817062
1235,1,e_miss,-0.005191861606742937,-0.005052895860565739,-0.00013896574617719773
1235,1,both_miss,-0.003704744951962468,-0.005052895860565739,0.0013481509086032714
1235,2,correct,-0.0043290873749336324,-0.0043290873749336324,0.0
1235,2,m_miss,-0.004488064854819455,-0.0043290873749336324,-0.0001589774798858223
1235,2,e_miss,-0.00442128688284403,-0.0043290873749336324,-9.219950791039717e-05
1235,2,both_miss,-0.006749293617854628,-0.0043290873749336324,-0.0024202062429209952
1235,3,correct,-0.007163288161820807,-0.007163288161820807,0.0
1235,3,m_miss,-0.007539718581336773,-0.007163288161820807,-0.0003764304195159659
1235,3,e_miss,-0.006912366641509348,-0.007163288161820807,0.00025092152031145915
1235,3,both_miss,-0.007648893756597573,-0.007163288161820807,-0.0004856055947767661
1236,0,correct,-0.004717147003474905,-0.004717147003474905,0.0
1236,0,m_miss,-0.004593808856599928,-0.004717147003474905,0.0001233381468749772
1236,0,e_miss,-0.004529984229667331,-0.004717147003474905,0.00018716277380757384
1236,0,both_miss,-0.005032672407666134,-0.004717147003474905,-0.00031552540419122876
1236,1,correct,-0.00445481457389496,-0.00445481457389496,0.0
1236,1,m_miss,-0.005004533919669383,-0.00445481457389496,-0.0005497193457744236
1236,1,e_miss,-0.005002732762250457,-0.00445481457389496,-0.0005479181883554975
1236,1,both_miss,-0.003571197579176573,-0.00445481457389496,0.0008836169947183869
1236,2,correct,-0.0045239924903328,-0.0045239924903328,0.0
1236,2,m_miss,-0.004405179360437382,-0.0045239924903328,0.00011881312989541794
1236,2,e_miss,-0.004596266861315363,-0.0045239924903328,-7.227437098256302e-05
1236,2,both_miss,-0.005765589380096987,-0.0045239924903328,-0.001241596889764187
1236,3,correct,-0.005965502659763287,-0.005965502659763287,0.0
1236,3,m_miss,-0.0059868803953754745,-0.005965502659763287,-2.1377735612187858e-05
1236,3,e_miss,-0.005944357868431599,-0.005965502659763287,2.1144791331687528e-05
1236,3,both_miss,-0.005487377527238334,-0.005965502659763287,0.00047812513252495307
1237,0,correct,-0.003581525598420779,-0.003581525598420779,0.0
1237,0,m_miss,-0.0033589212703467675,-0.003581525598420779,0.00022260432807401148
1237,0,e_miss,-0.0035749458058486434,-0.003581525598420779,6.5797925721355725e-06
1237,0,both_miss,-0.004842024853263568,-0.003581525598420779,-0.0012604992548427888
1237,1,correct,-0.005185868718698787,-0.005185868718698787,0.0
1237,1,m_miss,-0.005176459804459526,-0.005185868718698787,9.408914239260498e-06
1237,1,e_miss,-0.0053487037304625,-0.005185868718698787,-0.00016283501176371333
1237,1,both_miss,-0.0025947832748745613,-0.005185868718698787,0.0025910854438242256
1237,2,correct,-0.0038760201982148516,-0.0038760201982148516,0.0
1237,2,m_miss,-0.00332656212948962,-0.0038760201982148516,0.0005494580687252317
1237,2,e_miss,-0.004010448669951876,-0.0038760201982148516,-0.00013442847173702425
1237,2,both_miss,-0.005888235549055053,-0.0038760201982148516,-0.002012215350840201
1237,3,correct,-0.006351567505896278,-0.006351567505896278,0.0
1237,3,m_miss,-0.0058334352215315965,-0.006351567505896278,0.0005181322843646812
1237,3,e_miss,-0.006652299425072215,-0.006351567505896278,-0.000300731919175937
1237,3,both_miss,-0.005240581132095006,-0.006351567505896278,0.0011109863738012716
1238,0,correct,-0.0041438866018248316,-0.0041438866018248316,0.0
